169	150	128	89
185	151	120	85
199	152	114	82
212	153	109	79
224	154	104	76
235	155	101	74
245	156	96	71
255	157	92	68
264	157	88	67
272	158	86	65
281	159	82	62
289	159	79	61
296	160	76	59
303	161	74	57
310	161	72	56
316	162	70	54
322	162	68	53
328	162	64	52
333	163	63	50
338	163	61	50
343	163	60	48
348	164	58	47
353	164	56	47
357	165	55	45
361	164	53	44
365	165	52	43
369	166	51	42
372	166	51	41
376	166	49	41
379	166	48	40
383	167	47	39
387	167	44	38
390	167	44	38
393	167	43	37
396	168	42	36
399	168	41	36
401	168	41	35
404	168	39	35
407	168	39	34
409	169	38	33
411	169	38	33
414	169	36	32
416	169	36	32
418	169	36	31
420	169	35	31
422	170	35	30
424	170	34	30
426	170	33	29
427	170	34	29
429	170	33	29
431	170	32	28
432	170	32	28
434	170	31	28
436	170	30	28
438	171	29	27
439	171	29	27
440	171	29	26
441	171	29	26
443	171	28	26
445	172	27	25
446	172	27	25
448	172	26	24
448	172	27	24
449	172	27	24
450	172	27	24
452	172	26	24
453	172	25	23
454	172	25	23
456	172	23	23
456	172	24	23
457	172	24	23
458	172	23	22
459	173	23	21
460	173	23	21
461	173	22	21
461	173	23	21
462	173	23	20
463	173	23	20
464	173	22	20
464	173	23	20
466	173	21	20
467	173	20	20
467	173	21	20
467	173	22	20
468	174	21	18
470	173	20	19
471	174	19	18
472	174	19	18
472	174	19	18
473	174	19	18
474	174	18	18
474	174	19	18
474	174	20	18
475	174	19	17
476	174	18	17
476	174	19	17
477	174	18	17
478	174	18	17
478	174	18	17
479	174	17	16
479	174	18	17
479	174	18	16
480	174	17	16
481	174	17	16
482	174	16	16
482	175	17	15
483	175	16	15
484	175	15	15
484	175	16	14
485	175	15	14
485	175	16	15
487	175	14	14
487	175	14	14
488	175	14	14
488	175	14	14
489	175	13	14
489	175	14	14
489	175	13	13
490	175	13	14
491	176	12	13
491	175	12	13
492	175	11	13
492	175	11	12
493	175	11	12
494	175	11	12
495	175	9	10
495	175	10	11
496	176	9	10
496	176	9	10
497	176	9	8
498	176	8	8
498	175	8	8
499	176	7	7
499	175	7	8
500	176	7	7
500	176	7	6
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
